=== Data ===
/Mu/Run2010A-Nov4ReReco_v1/RECO
/Mu/Run2010B-Nov4ReReco_v1/RECO

=== JSON ===
Cert_136033-149442_7TeV_Nov4ReReco_Collisions10_JSON.txt

=== Lumi ===
Lumi from lumiCalc.py for an "AND" of lumis in files (edmLumisInFiles.py) and the JSON:
| Delivered LS | Delivered (/μb) | Selected LS | Recorded (/μb) |
-------------------------------------------------------------------
|       100254 |     43506945.316 |       75081 |    36145000.992 |

Lumi in combined JSON and missing in processed files: None.

=== Selection ===
Emulate Lyon's selection.
1. Photon
    1.1 |eta(SC)| < 2.5
    1.2 |eta(SC)| < 1.4442 or |eta(SC)| > 1.566
    1.3 seed RECO flag != EcalRecHit::kOutOfTime
    1.4 seed severity level != EcalSeverityLevelAlgo::kWeird
    1.5 seed severity level != EcalSeverityLevelAlgo::kBad
    1.6 pt > 10 GeV
2. Muon
    2.1 is global and tracker muon
    2.2 # of tracker hits > 10
    2.3 global normalized chi2 < 10
    2.4 |eta| < 2.4
    2.5 tracker isolation < 3 (sum track pt in DR < 0.3)
    2.6 pt > 10 GeV
3. Dimuon
    3.1 two muons passing the selection 2.
    3.2 at least one muon with |eta| < 2.1
    3.3 total charge = 0
    3.4 invariant mass in [40, 80] GeV
4. Mu-mu-gamma
    4.1 at least one photon and one dimuon passing the selections 1. and 3. resp.
    4.2 min DR(muon, photon) < 0.8
    4.3 3-body invariant mass in [87.2, 95.2] GeV
    4.4 far muon ECAL isolation <= 1 GeV
    4.5 far muon pt > 30 GeV
    4.6 near muon HCAL isolation <= 1 GeV

=== Yield ===
Observed 205 events.  Additional 42 events with photon pt in (5,10) GeV.


=== Photon Energy Scale Extraction ===
In progress.

=== Dump of Events ==
___________________________________________________________________________________________________________________________________________
                               pt                      eta                       phi                         mass            DR
 #      run  lumi       event  photon  near mu far mu  pho      near mu  far mu  pho      near mu  far mu    dimuon  3-body  near    k
===========================================================================================================================================
 25  146644   766   694931816  21.973  26.397  38.684   0.0038  -0.2636   0.0462  -3.0080   2.7470  -0.1436  64.237  87.545  0.5920  1.1840
 26  146644   800   721657117  10.049  30.505  40.646  -0.9171  -0.9485  -1.9555  -1.5400  -0.7501   1.9402  77.843  91.097  0.7905  1.0074
 27  146644   945   829232377  19.811  24.827  44.582  -2.0451  -2.0150  -1.9450   2.8837   2.5962  -0.5090  66.461  88.938  0.2891  1.1160
 28  146644  1064   909449662  23.284  11.381  43.274  -0.2270  -0.2947   1.1247   1.7720   2.0089  -2.0940  51.656  90.702  0.2467  1.0159
 29  146644  1844  1365679174  17.325  22.989  35.646   1.6433   1.9705   0.6698  -2.6490  -2.0403   0.9129  70.318  90.156  0.6908  1.0588
 30  146713   165   167068053  13.912  27.038  31.430   0.6705   0.6772   2.0561   2.0932   2.0848  -1.2977  72.235  88.936  0.0107  1.1507
 31  146710   119   130539804  11.682  17.219  32.553  -0.2352  -0.5617   1.4383   0.4119   1.0825  -2.3786  72.617  90.496  0.7457  1.0431
 32  146712    65    67845103  10.833  32.387  37.227   1.5633   2.0266   1.0360  -2.4931  -3.1148   0.2253  76.719  88.013  0.7752  1.3058
 33  146715    75    70765409  17.657  25.469  33.600  -0.8033  -0.7767   0.3201   2.7390   2.7304  -0.2399  67.429  87.952  0.0278  1.1818
 34  146724   136   108299450  21.560  16.060  52.006   0.3072   0.3640   0.9718  -3.0229  -2.6554   0.8109  60.185  90.630  0.3718  1.0221
 35  146804   151    73809828  32.486  12.851  43.735  -0.4726  -0.1508  -0.2749  -1.8469  -1.8379   1.2518  47.476  89.497  0.3221  1.0531
 36  146804   415   378419003  18.876  17.936  33.085   0.1636   0.1065   1.6635   0.4145   0.3602  -3.0494  63.781  90.443  0.0789  1.0329
 37  146804   294   241961487  14.821  27.615  37.407  -0.0705  -0.0085   0.9872  -0.9378  -0.6749   2.3427  72.182  90.090  0.2702  1.0685
 38  146804   609   582823459  35.011  12.889  38.452  -0.1964  -0.2061  -0.7965   1.9389   1.9209  -1.1024  46.377  89.548  0.0204  1.0505
 39  146807   435   432547273  13.702  23.212  53.939  -0.7502  -1.0815  -0.5557  -1.6950  -1.5304   1.5426  72.808  91.252  0.3699  0.9961
