# Same as v2 except for the masses w/o vertexing in the selection (w/ vertexing in this dump). 202 selected events.
#  run  lumi       event   phoPt[g]  muPt[mnea  muPt[mfar  phoEta[g]  muEta[mne  muEta[mfa  phoPhi[g]  muPhi[mne  muPhi[mfa   mass[mm]    mmgMass  mmgDeltaR  kRatio(mm
146807   435   432547273  13.701525  23.212308  53.938720  -0.750220  -1.081503  -0.555652  -1.695023  -1.530350  1.5425521  72.808448  91.252113  0.3698822  0.9961103
146944   322   300071686  11.511580  24.623952  37.616165  1.1964671  1.1934407  -0.069759  2.2288968  2.2449266  -1.082913  73.328002  88.845634  0.0163269  1.1675434
146944   366   362297109  21.728319  24.209589  41.691902  0.3716372  0.1208005  -0.559923  -1.974596  -2.654372  0.4761988  67.388839  94.197448  0.7245756  0.8711926
146944   507   557250033  14.783887  15.472207  30.780191  -0.553074  -0.537057  1.3916269  1.8827105  1.8751920  -1.339488  65.682342  92.158233  0.0176692  0.9574149
147043   328   191934091  21.853160  36.211177  44.231266  1.6594756  1.6793150  1.1002417  2.9422397  2.9313850  -1.397343  70.448860  88.945716  0.0228163  1.1369731
147114   386   343426752  10.234429  23.490062  34.916515  -1.871140  -1.911652  -0.406974  -0.720176  -0.766687  2.2890255  75.237983  89.412879  0.0613666  1.1373298
147114   533   551784803  13.891321  24.991891  51.645160  0.8558031  0.8642960  0.3327492  0.5633849  0.5443776  -2.567204  74.216758  92.534957  0.0208056  0.9189613
147115   333   393429957  10.385397  27.747419  51.301891  1.9165668  1.9291225  1.4370746  0.3085642  0.3838279  -2.896972  76.558433  89.924980  0.0761517  1.1027615
147115   200   241242113  13.180144  36.923522  44.369949  -0.624714  -0.625024  -0.518620  1.0084962  1.0772210  -2.476018  79.260246  92.517990  0.0687237  0.8926841
147115   238   284567688  16.996618  27.788864  42.198955  -0.807520  -0.879825  -0.196915  2.9730541  2.9712133  -0.146451  72.650955  91.804023  0.0724478  0.9641882
147196    40    38989648  22.012727  12.847420  36.147125  0.0777166  0.0410918  1.6871734  1.5244885  1.5128541  -1.325412  58.196315  95.103729  0.0384174  0.8710582
147196    42    41043107  16.381280  29.215236  43.555664  0.6909065  0.6615691  0.2667961  1.4432672  1.4475426  -1.725899  72.572708  90.762489  0.0292957  1.0260343
147216    28    20379170  22.546232  11.986804  46.163024  -0.776115  -0.690640  -1.816895  -2.380642  -2.399288  0.8338243  54.849971  91.846984  0.0875068  0.9777625
147216    61    45938279  14.430637  24.578517  39.310211  -0.957110  -1.251603  -0.184715  0.1465026  0.0891991  3.0884370  71.311805  87.937316  0.3000265  1.2199000
147219    93    63196871  11.215384  33.918159  43.396545  -0.766891  -0.864664  -1.159242  -0.565101  -0.548838  2.6163408  77.597999  89.691703  0.0989730  1.1337401
147219   256   170941241  12.972698  27.981252  51.477554  0.8723991  0.7988705  1.2153765  -1.545265  -1.498690  1.8725134  77.520103  93.322837  0.0869035  0.8540722
147284    48    45427795  19.748540  12.514882  46.038669  -0.232357  -0.900555  0.5118057  -0.018285  0.1807995  -3.042902  60.337841  88.903083  0.6972224  1.0965071
147284   101    97244649  11.151218  18.550827   68.90979  0.8787252  1.0707427  1.0400517  2.5035445  2.1219706  -0.962432  70.953575  89.552749  0.4272543  1.0989800
147284   259   246028709  22.690221  13.582051  53.057807  2.1362831  1.7812789  2.3525090  -2.375234  -1.678836  1.0240453  55.127224  89.857063  0.7818585  1.0478397
147284   218   209019561   20.02215  35.511642  31.290685  0.1763904  0.0044729  0.9722607  -1.386643  -1.466507  1.4751678  74.354965  91.851867  0.1893984  0.9581902
147390    13    10671085  21.193775  14.011439  35.972423  0.7192802  0.7036523  2.2083420  0.7704858  0.7716807  -2.265513  56.303138  89.017517  0.0157508  1.0822578
147390   210   185421099  18.244535  13.621141  33.584297  1.9891880  2.0292701  0.0204308  -0.404765  -0.399308  1.1088830  57.503948  87.801490  0.0338305  1.1376696
147390   192   169371313  21.022487  22.156663  31.464036  -1.155012  -1.166140  0.1778665  3.1106195  -3.141561  0.2412151  64.957710  90.457847  0.0328830  1.0334474
147390   269   234487481  11.090500  15.503879  52.613681  -0.203772  0.1494895  -1.321687  0.3720974  -0.314458  -2.762831  70.540313  90.571884  0.7719770  1.0346764
147390   801   633982875  12.229355  27.361742  42.271652  1.6213752  1.6103142  0.7055353   2.272856  2.2972490  -0.794020  75.124511  90.372703  0.0266742  1.0586292
147452    18    16259298  22.097749  14.999402  32.244281  0.7228616  0.4823192  -0.959077  -1.684280  -2.437373  1.2276040  54.609291  92.282913  0.7905779  0.9636864
147754   323   379589082  13.718150  11.106956  31.145521  0.6074273  0.8194211  -1.490204  -0.228406  -0.112280  3.1175334  65.193519  93.139831  0.2417033  0.9186749
147754    15    18346675  17.177269  23.257535  43.720741  0.6583126  0.4642933  1.3842408  3.0720059  -2.446527  0.2422975  68.512954  90.673759  0.7887915  1.0264896
147754    41    51384894  14.574587  21.927906  44.330001  -0.997382  -0.996802  -2.391860  2.6856901  2.6864876  -1.414371  71.875259  92.622406  0.0009886  0.9227240
147754   188   225525920  22.832660  19.635833  49.995414  -2.168087  -2.200459  -1.971706  -3.050221  -3.032906  -0.449600  60.431713  88.678421  0.0365929  1.1071533
147754   285   336797297  14.056868  32.474712  33.838340  2.4623053  2.2553160  0.9868949  -1.873546  -1.939677  0.4747835  77.254173  94.067817  0.2172523  0.8147657
147755   176   155018748  16.707988  14.774469  32.987224  -0.297924  -0.195190  -2.107909  -0.044399  -0.176544  2.4819107  65.029846  92.641861  0.1673985  0.9385947
147755   180   158710555  12.912554  10.731277  33.729358  0.4598084  1.0296059  -1.402619  2.1061625  2.3173961  -1.362209  68.830162  92.227897  0.6074500  0.9493665
147755   183   161331396  21.027357  11.045421  32.604084  -0.537730  -0.389121  1.3761168  -1.773355  -1.403344  1.6244658  53.524406  94.662414  0.3985154  0.8940645
147929    67    65424789  16.358879  36.740921  43.084404  0.5978991  0.6078907  0.4700446  2.8279805  2.8328568  -1.084414  73.809410  88.774864  0.0112066  1.1784527
147929    99    96795668  10.653765  24.904144  52.523399  -1.804771  -1.832232  -1.081864  1.2879151  1.3037061  -1.652567  77.009269  91.805107  0.0316642  0.9547596
147929   613   537145133  61.652164  34.572021  167.54856  0.7162504  0.7111175  1.2563110  1.8719211  1.8783326  1.4109828  54.293830  89.946754  0.0081529  1.0437055
147929   557   494923306  28.606761  16.358619  38.997432  -1.401591  -0.912059  -2.140461  -0.460060  -0.801209  2.8195064  58.863349  93.179672  0.5966078  0.9296082
147926   103    55717048  22.526481  19.714998  35.999950  -0.593240  -0.546905  -1.671695  0.3706443  0.3399338  -2.636144  62.074195  90.286415  0.0556609  1.0380467
147926    95    44097816  14.071970  16.163463  36.508018  2.3221540  2.3711814  0.5775395  -3.102499  -3.100317  0.0935244  68.851074  93.815696  0.0491256  0.8802716
147926   263   267434110  10.803554  27.719930  52.317409  -0.038490  0.0824936  0.3932974  -0.781180  -0.893253  1.8936454  75.910575  89.514778  0.1645023  1.1343193
147926   342   362216894  25.036901  22.001195  42.189552  -1.228258  -1.761905  -1.437482  2.7710421  2.7358989  -0.304724  61.562744  90.471878  0.5347935  1.0295818
147926   400   429334382  12.383362  35.300407  39.880420  -0.408209  -0.389881  -0.985556  -0.315750  -0.372573  2.5201942  78.181167  90.738464  0.0597182  1.0385208
147927    26    25992595  19.634258  15.820169  42.221843  -0.317301  -0.358196  -1.552684  -0.745868  -0.800602  2.1772730  61.124664  91.925994  0.0683084  0.9713183
147927    48    50393331  10.162143  31.448331  46.164432  1.0469704  1.3813604  0.9089061  1.8122561  1.5481356  -1.426413  78.516349  90.117538  0.4260634   1.099168
147927    68    71311835  11.107492  25.130083  41.140117  2.1306521  2.3502359  1.0358573  -0.360589  -0.020985  2.8155307   77.99646  92.598175  0.4044882  0.8959267
148029   346   268831266  13.221044  33.486537  41.367702  -1.319946  -1.327786  -1.989716  -2.845511  -2.822973  0.2414957  78.329307  92.744331  0.0238398  0.8838893
148029   115    68707621  16.978227  33.714252  31.761642  -1.179697  -1.198130  -0.110118  -2.471590  -2.356630  0.5475494  75.131057  92.098663  0.1164025  0.9411502
148029   138    89644209  17.985788  15.477419  30.911262  0.4116637  0.8834882  -1.088581  -2.435243  -2.404614  0.9026250  66.808029  90.781776  0.4731822  1.0195465
148029   428   334371842  14.137506  17.393877  59.168045  -0.428363  -0.431670  -1.408636  -1.333004  -1.337057  1.0544705  68.090248  91.618255  0.0051849  0.9790489
148029   500   389015236  26.643211  37.518486  34.800243  -0.758707  -0.759299  -1.545549  -1.052531  -1.063363  1.0797902  69.838371  91.243988  0.0108405  0.9970165
148029   493   383675704  23.768606  19.396064  48.591316  -0.706468  -0.628946  -0.377385  1.8725401  1.9394427  -1.349601  61.766544  92.396400  0.1022198  0.9530035
148029   506   393548031  30.915609  19.698494  39.877365  -0.209213  -0.233967  0.0196797  1.9350687  1.9127420  -0.745661  54.882335  88.031143  0.0330005  1.1194103
148031   252   214742636  21.102781  26.006658  41.014022  1.1778128  1.1790556  0.5317875  0.3305216  0.3085289  -2.546223  68.317535  91.845802  0.0221789  0.9680304
148031   510   409393593  10.552342  30.295675  48.062923  -0.179283  -0.097907  -0.424061  0.3252542  0.3712341  -2.739303  77.327652  89.665794  0.0935556  1.1335785
148031   482   388532046  10.681499  22.278451  44.903205  1.3241260  1.9671683  0.3303295  -2.429893  -2.378672  1.8480086  79.343765  90.975669  0.6451022  1.0194867
148002   116    75030092  15.657065  21.062328  41.600502  -1.014814  -0.988729  0.1608416  -0.285771  -0.356810  2.7633466  69.369812  91.725982  0.0758143  0.9726564
