# Selection as described in the Egamma talk from 20 Jan 2010 confId=121624
#  run  lumi       event   phoPt[g]  muPt[mnea  muPt[mfar  phoEta[g]  muEta[mne  muEta[mfa  phoPhi[g]  muPhi[mne  muPhi[mfa  twoBodyMa  treeBodyM  mmgDeltaR  kRatio
143327     5     3002476  34.273979  21.834938  37.009414  -0.825943  -0.827232  -0.763101  0.6503283  0.6492034  -2.188699  56.155540  90.197395  0.0017222  1.0360505 
143328   200   149838938  7.1544055   16.85112  20.796089  -2.127907  -1.379922  0.9837921  -2.693424  -2.666700  0.2950372  66.744888  90.392883  0.7484883  1.0388334 
143665    27    22995560  7.6910285  36.063526  34.885604  -0.518713  -0.595347  0.5734246  -2.825049  -2.711954  0.6086425  83.286010  91.359733  0.1366922  0.9777151 
143827    20    26411883  10.210684  35.620433  32.763195  1.7236220  1.7226989  0.4534163  -0.959260  -0.939304  2.2247645  81.879425  93.065292  0.0201790  0.8232056 
143833   213   228974894  14.556435  26.797079  44.696476  2.2702436  2.2755169  1.9764423  2.3036849  2.3452677  -0.833835  70.677040  87.684936  0.0414957  1.2326165 
143833   677   687385408  8.5801448  31.434902  22.227462  -1.352322  -1.349221  0.5550903  1.6246404  1.5503698  -1.973157  78.086875  88.075302  0.0743029  1.3361571 
143835   268   240163003  5.7428436  34.813159  40.563152  0.6326559  0.6252083  1.6631263  0.7175342  0.7263702  -2.077919  84.732032  91.400131  0.0116321  0.9669589 
143953   561   658242527  18.783948  18.461496  27.720300  -1.738424  -1.744676  -0.376381  -2.085915  -2.155932  0.9720643  56.337455  79.852813  0.0704862  1.6053609 
143954    39    52511702  12.582060  18.547212  37.438266  1.1548641  1.6663183  -0.130109  -1.285725  -1.829292  1.5820784  75.166351  92.331237  0.7463764  0.9270005 
143961    30    32541032  11.084492  19.393972  23.139566  1.0981961  1.1229831  -1.204686  0.2125528  0.1788019  -2.986209  74.424942  93.046257  0.0421319  0.8901959 
143961   281   302253874  25.783620  19.261667  34.990825  -1.399702  -1.394758  -1.139633  0.6160141  0.6391340  -2.526741  52.294761  79.966461  0.0236818   1.524754 
144010    51    77026526  8.0493192  35.252441  43.761814  0.8828061  1.3618881  0.6374567  -1.065079  -1.665541  1.6574560  83.073402  91.876754  0.7682895  0.9180860 
144086    76   109878103  12.082818   29.10219  45.632553  -0.761333  -0.829800  -1.590602  -2.220543  -1.943345  0.7346961  76.511497  92.028595  0.2855491  0.9410826 
144086   115   165619013  25.424972  13.943676  44.087657  1.3033769  1.2146906  0.1678699  0.0451587  -0.155677  2.5555913   55.19104  93.368736  0.2193590  0.9290257 
144086   119   172697788  8.9756469  14.782234  20.767114  -0.077670  0.1760707  -2.255675  -2.330745  -2.333817  0.9597166  65.048996  79.539817  0.2538202  1.9491148 
144089   109   137418187  6.9771862  26.153308  23.748521  -1.403323  -1.394607  0.3506348  0.7312348  0.7363729  -2.391733  69.882103  78.764640  0.0101525  2.5990405 
144089   139   170961283  10.365534  32.674774  51.818874  0.1659208  0.8614533  1.0809229  1.9047930  1.8534082  -1.396196  83.350799  98.984207  0.6973966  0.4798505 
144089   403   481229655  8.7832794  15.489026  13.735800  0.7594488  0.6289727  -1.498108  1.6042496  1.6950405  -1.566395  47.144340  60.201377  0.1589175  4.3468289 
144089   818   927821778  13.274066  10.015491  15.412977  -1.349601  -1.309890  1.0204920  1.5669438  1.3726320  -1.633713  43.947998  68.310745  0.1959410  2.3341543 
144089  1046  1150143716  7.0776281  28.635555  43.019035  0.3720625  0.2109861  -0.590198  -3.052608  -2.895526  0.2209841  75.979064  85.448288  0.2249698  1.6632042 
144089  1355  1430044893  31.562984  19.734148  37.201564  -0.664306  -0.122977  -0.087822  1.6225280  1.9575785  -1.355696  53.990776  90.747589  0.6365668  1.0150473 
144112   361   362467118  10.744226  14.128658  16.405838  -1.788156  -1.788032  0.5177254  2.9661722  2.9621741  1.0897544  48.503322  64.933509  0.0045413  3.1991860 
144112   495   543245246  10.051110  26.502178  44.731132  0.4776449  0.3828484  -0.715395  -2.369252  -2.402567  0.0722582  76.408752  90.310249  0.1006048  1.0687065 
144112   499   549148963   6.527637  16.115976  16.234457  1.6478006  1.7462118  -0.464732  -2.500642  -2.310203  0.9079650  53.207332  62.846275  0.2114865  4.9025485 
144112   746   870300938  18.377611  24.230939  45.241359  -0.448629  -0.762497  -0.204550  2.5855212  2.8034255  -0.408068  68.771827  90.247642  0.3821910  1.0499378 
144112   585   663453135  20.575437  12.155997  46.598999  -0.326630  0.0949053  0.9307386  1.7474056  1.8949728  -1.515995  51.228103  90.486274  0.4465900  1.0229017 
144112   587   666233284  23.619234  22.655599  43.400810   1.720245  1.6938709  1.9412918  2.6657741  2.6738805  -0.251479  63.462722  90.640998  0.0275057  1.0237299 
144112  1691  2086423406  6.2241039  25.062797  44.156673  -0.541962  -0.933548  -2.172945  0.3857509  0.1868503  -2.565752  77.989074  89.883361  0.4392089  1.1182736 
144114    48    53933598  6.2644300  17.785516  22.167055  1.1623061  1.7731636  -0.893941  1.3490309  1.2415726  -1.620675  80.575424  89.010902  0.6202829  1.2741881 
146430    76    19987695  13.752093   13.71912  81.438385  2.0779933  1.2076232  1.1895219  -1.997269  -2.011159  1.1457098  67.189834  100.68344  0.8705181  0.6759591 
146437   257    64478975  35.043254  26.951555  38.231189  -2.113276  -1.956602  -1.481902  -0.885342  -0.765388  2.6768460  65.271408  99.762191  0.1973171  0.7123547 
146510   168   155353288  11.405457  69.035217  22.578893  1.9511489  2.2577099  1.9279284  -0.402406  0.0168757  3.1115567  80.406509  87.560867  0.5194979  1.5394637 
146510    65    61091868  13.993212  31.109409  39.931190  -1.337738  -1.324035  -0.548952  2.1143863  2.1085045  -1.042279  75.598556  91.201690  0.0149435  0.9990126 
146511   513   371042662  22.923711  30.900356  38.825611  1.9619931  1.2691719  1.8414574  -2.110682  -2.594323  0.6418650  71.878387  95.442596  0.8448920  0.7985914 
146511   140   107753272  7.0374007  34.821609  47.053791  -1.845222  -1.889430  -1.449061  -0.278815  -0.319966  -3.123337  82.736038  90.590286  0.0604188  1.0797580 
146511   325   242842128  13.368901  28.347665  43.142162  0.0955371  0.2602422  -0.760707  0.9361975  0.7026027  -2.581714  78.934593  94.452323  0.2856798  0.7747456 
146511   389   287260413  9.2666492  17.525749  27.979284  1.3169630  1.5440629  -0.643582  -2.576308  -2.436082  0.5464586  73.315147  88.244697  0.2671230  1.2189254 
146511   550   395148585  7.9184465  33.331306  38.378883  -0.428856  -0.431147  0.4841091  0.4049999  0.4448605  -2.485031  78.803756  87.603050  0.0398593  1.4376838 
146514   333   224573371  15.176676  25.016841  44.636810  -1.087070  -1.093022  -1.218762  -2.045661  -2.042529  1.0922519  66.926048  84.857879  0.0068526  1.4094104 
146514   412   274191433  15.425956  12.142673  22.717691  0.0709376  0.1142744  -2.346247  -3.130614  -2.923319  0.0843119  55.743206  83.236534  0.2115510  1.3629552 
146644   209   159994508  27.673112  17.535322  35.469806  -1.038854  -1.048811  -2.200511  2.8722038  2.8827893  0.4320514  56.257900  90.395057  0.0145872  1.0287460 
146644   227   179791797  11.723776  13.952264  71.177734  0.3343080  1.0677568  -0.168636  0.0223376  0.6096675  -2.941029  73.922264  95.540542  0.9396637  0.7781306 
146644   368   331198374  6.6500177  31.958400  39.112651  -1.283710  -1.065187  -2.169496  1.7704043  2.2969570  -0.876137  81.626579  88.989120  0.5700891  1.3153366 
146644   324   285703409  5.6678915  23.416439  35.121704  0.0069664  0.5066967  0.6619544  -2.731945  2.9390225  0.1474281  56.607566  64.444229  0.7903282  5.3874498 
146644   332   294069214  6.3216638  34.997509  44.443691  -1.745967  -1.829215  -1.626838  -1.427279  -1.495068  1.5338194  76.663864  83.616066  0.1074857  2.1877715 
146644   444   408088331  7.4971914  33.477104  41.413230  0.4499652  0.4517855  -0.427279  -2.276123  -2.268684  0.8418892  81.700965  90.384597  0.0076941  1.0975708 
146644   512   473974792  7.9385228  37.048217  43.923122  1.9343875  1.8112713  1.5040886  -1.932317  -1.909884  1.3051617  81.918159  90.483497  0.1251212  1.0866234 
146644   655   603058742  18.417671  30.448665  40.645095  0.8489736  0.8303100  0.3883559  2.6606245  2.4972991  -0.471666  71.756744  91.235855  0.1642233  0.9972273 
146644   766   694931816  21.973047  26.397108  38.684433  0.0037919  -0.263585  0.0461511  -3.008008  2.7470488  -0.143573  64.237220  87.545227  0.5919525  1.1840187 
146644   800   721657117  10.049459  30.504688  40.645996  -0.917078  -0.948484  -1.955520  -1.540020  -0.750138  1.9401787  77.842849  91.096519  0.7904732  1.0074149 
146644   945   829232377  19.811218  24.827468  44.582119  -2.045125  -2.015019  -1.945036  2.8836679  2.5962111  -0.509032  66.461402  88.938293  0.2891016  1.1159947 
146644   984   856054550  15.329683  34.081943  27.607671  -1.226257  -1.224280  0.1938512  3.1220257  3.1136310  -0.187315  77.694152  93.458946  0.0086439  0.8445641 
146644  1006   871642326  8.5658168  32.824672  44.312812  -0.887008  -0.452159  -1.242274  -2.786046  -2.771077  0.8741120  80.189079  89.163360  0.4351949  1.2402090 
146644  1046   897423642   20.87257  31.280937  26.221740  0.6710066  0.6702706  0.3850970  1.6229364  1.6168266  -2.778963  47.198860  60.830516  0.0062070  4.1337536 
146644  1064   909449662  23.284252  11.381154  43.273914  -0.227031  -0.294730  1.1246868  1.7720238  2.0088720  -2.093995  51.656257  90.701507  0.2466618  1.0159065 
146644  1215  1007292485  5.6430945  13.409605  30.419057  -0.738581  -0.743879  1.1750050  -0.468831  -0.351877  2.7763013  60.575729  72.144195  0.1171894  3.0258319 
146644  1445  1148069762  34.264816  20.297744  43.446094  0.7493418  0.7444847  1.2388254  1.0666596  1.0600481  -2.112453  60.698673  99.731407  0.0083001  0.7395131 
146644  1844  1365679174  17.324588  22.988634  35.646431  1.6433402  1.9705009  0.6698154  -2.648991  -2.040349  0.9128689  70.318023  90.155777  0.6907655  1.0587774 
146644  1892  1389404915  12.305731  34.791767  35.633571  -0.030602  0.0175583  -0.502013  -3.018758  -2.668893  0.3876188  72.743888  84.665069  0.3531351  1.6112464 
146644  1938  1411361281  28.183353  20.533996  24.362209  -0.146142  -0.585629  1.0206683  -1.817063  -1.712399  1.5309784  60.022968  86.657959  0.4515712  1.2061961 
146644  2065  1470798026  5.6495795  22.364833  29.721033  0.5396538  0.3369418  -1.630792  1.3097353  1.5546567  -1.441454  81.793220  92.984581  0.3182092  0.8308007 
